gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lrrc7,0,97.47854023,0.446,0.102,0
Mdga2,0,31.08036295,0.594,0.25,0
Grm5,0,20.97180947,0.444,0.11,0
Sntg1,0,36.85113425,0.446,0.116,0
Grin2b,0,85.54673659,0.45,0.122,0
Kcnma1,0,5.111852218,0.483,0.156,0
Lrfn5,0,11.31201258,0.444,0.123,0
Frmd4a,0,-6.429708109,0.535,0.215,0
Agbl4,0,28.16295956,0.411,0.097,0
Nkain2,0,-13.61699791,0.519,0.213,0
Kalrn,0,33.07544807,0.404,0.099,0
Dlgap2,0,57.0483702,0.367,0.063,0
Epha5,0,28.22115771,0.397,0.095,0
Lrrtm4,0,64.26234889,0.444,0.149,0
Grid1,0,11.74215454,0.419,0.124,0
Dok6,0,-7.464045951,0.387,0.093,0
Dscam,0,9.321139359,0.425,0.131,0
Pcdh7,0,-54.0606635,0.446,0.153,0
Tenm4,0,1.799138332,0.379,0.092,0
Tanc2,0,10.8834437,0.491,0.204,0
Grm7,0,89.64224668,0.423,0.138,0
Asic2,0,214.302148,0.46,0.177,0
Sgcz,0,308.0773181,0.407,0.124,0
Lingo2,0,149.3808478,0.405,0.123,0
Kcnh7,0,29.70776508,0.354,0.072,0
Frmpd4,0,207.0889799,0.427,0.147,0
Chn2,0,1.569824334,0.442,0.718,0
Grip1,0,231.6149736,0.377,0.105,0
A230006K03Rik,0,20.97828974,0.33,0.059,0
Robo2,0,-12.19889798,0.357,0.086,0
Kctd16,0,91.67331115,0.352,0.083,0
1-Mar,0,46.94163485,0.392,0.124,0
Gria3,0,11.36515468,0.363,0.095,0
Atrnl1,0,28.12276978,0.36,0.093,0
Gabrg3,0,98.88700577,0.331,0.067,0
Gria1,0,6.55454166,0.377,0.113,0
Ccdc88a,0,-13.2437552,0.47,0.209,0
Gabra6,0,-2.825347724,0.237,0.498,0
Plcb1,0,75.80383436,0.547,0.29,0
Snhg11,0,8.273506013,0.534,0.277,0
Kcnq5,0,228.7295836,0.325,0.069,0
Etl4,0,93.11756468,0.349,0.093,0
Pam,0,11.7178576,0.364,0.109,0
Cttnbp2,0,14.94041131,0.398,0.144,0
Tjp1,0,1.728747863,0.487,0.234,0
Ppp2r2b,0,10.88256999,0.476,0.223,0
Cacnb2,0,74.30767558,0.357,0.105,0
Sorbs2,0,28.38853561,0.44,0.19,0
Epha6,0,48.4628002,0.318,0.068,0
Cntn5,0,108.984579,0.329,0.08,0
Prickle2,0,62.81812318,0.388,0.14,0
Prickle1,0,10.44242256,0.383,0.136,0
Prkg1,0,-130.5014816,0.36,0.114,0
Gm26871,0,124.8555406,0.337,0.093,0
Bc1,0,-1.466107169,0.475,0.234,0
Cdk14,0,28.09425479,0.366,0.126,0
Nrg1,0,-38.1428142,0.434,0.194,0
Ahi1,0,61.37670124,0.562,0.323,0
Csrnp3,0,4.558968359,0.381,0.143,0
Pcdh15,0,123.4092739,0.345,0.107,0
Slc35f1,0,21.24283651,0.318,0.081,0
Ppm1e,0,9.15620018,0.385,0.149,0
Tenm3,0,-25.18474364,0.319,0.083,0
Pak3,0,20.80016927,0.302,0.068,0
Dcc,0,13.79427233,0.359,0.126,0
Cntn3,0,10.32129213,0.317,0.087,0
Mgat4c,0,26.68219878,0.331,0.101,0
AC149090.1,0,28.19513464,0.657,0.428,0
Erc2,0,-43.86968242,0.547,0.319,0
Csmd1,0,94.62904142,0.596,0.369,0
Xkr4,0,-2.100283936,0.591,0.368,0
Csmd3,0,23.72546392,0.637,0.415,0
Dmd,0,46.4774255,0.603,0.395,0
Adgrl3,0,-10.75781119,0.714,0.518,0
Nav3,0,11.49195804,0.617,0.427,0
Gria2,0,45.50862839,0.8,0.712,0
Dlg2,0,12.32532742,0.808,0.734,0
Dgkb,3.03E-304,146.2808036,0.359,0.126,9.75E-300
Ptprn2,5.06E-304,21.92201149,0.547,0.334,1.63E-299
Mef2c,2.32E-301,26.75274187,0.331,0.118,7.46E-297
Arhgap32,7.86E-298,-1.154663461,0.337,0.112,2.53E-293
Mir100hg,2.13E-291,23.67719962,0.399,0.155,6.86E-287
Gabrb1,3.27E-290,-6.429860663,0.451,0.208,1.05E-285
Fat3,9.93E-287,17.03527624,0.348,0.122,3.20E-282
